"package","version","hash","analysis"
@copilot-web-widgets@ai-writer,60.0.0,7dc1e4d58724525cf2998c4eed3560ac,malicious
cs-shared-component-tools,7.2.3,4f6262a6b9a0a46f14bc403afa0826ad,malicious
harthat-hash,1.3.3,f35135dc474791416507ee778ae0f801,malicious
@volcenjine@veplayer,89.3.5,001a7e727c0c239ca3687d2f6cd1d3ff,malicious
acribus-core,6.1.3,66208fc6e251b3fd3645dd1ed4d5a262,malicious
@volcenjine@tos-sdk,89.3.5,ce11589c5fda0e3e734f65a22beb349a,malicious
raptor-library,100.0.5,a74e8c485bf59a89b89618de44d95d61,malicious
seatalk-openapi,6.5.8,9386080c72bdef658e5671c66b14b15c,malicious
distube-fast,5.0.2,c43b197b738ccac725f48b87111dfd6d,malicious
paypal-js-root,1.0.0,d7ad93049df23b8fa91d78165deb9a4a,malicious
valid-ip-ban,3.3.3,f2170d3d4589644efff8b235962c7da3,malicious
rollup-plugin-hotreload,6.5.8,79428d0f2ea777ac3b80968bdfe1580f,malicious
peritter,1.1.0,b0cb801e8f42c410fc951fa1a523c0be,malicious
peritter,1.0.0,14858cbae3206bdda353e241c2aeb9fa,malicious
gnache-cli,6.12.2,5493603afc9fb3113d270eef428e40a4,malicious
playwright-1.47,10.1.8,befd7a855d6848d36cc6603171a89170,malicious
docu-scripts,0.0.0,02b9c3cc672b71b6b285a1fd230b9cc3,malicious
deploy-pages,4.3.0,8595ae25b1726b4053b84a4fd94f1839,malicious
item-sold-count,6.5.8,a4f9842c9c70e33df1a99c7afa98780e,malicious
@0xengine@meow,1.2.7,7e6d9680b53dee6b3e48f269c9571e93,malicious
web_enhance_sap-stable,9.2.7,c2832d8385895ba5539f1aace8044c48,malicious
easy-transify,7.2.3,cbc95efa88099c4fb24ad10546e699c2,malicious
centers-of-excellence,1.0.0,f274c36d4978d7ac14749d9d07ae2237,malicious
aries-bifold-root,2.0.0,5123e92744d98bf17534dc3dfeeb6113,malicious
aries-bifold-root,1.0.0,da41180a74f60f4d586ee905d19b25ea,malicious
seller-return-common,6.5.8,630dd34f41c35f2cb11385e65138fe34,malicious
markomponent,6.5.8,8e6ea690bf835c2d1d64a340a043e00f,malicious
libnpmpublishing,99.3.5,dc98d2f7776bc892c2c9e3790508931a,malicious
flexfone-reseller,100.0.5,135aa0d867fe6e37971fa6426ab62db3,malicious
flexfone-reseller,100.0.4,93ccd775f4104f05ebf1dfbd028d20ad,malicious
flexfone-reseller,100.0.3,d4c99bd5e630f9b77886eab0eadad692,malicious
js-dos-template,1.0.0,f101f3f39d2719161df35551e9eb1cf4,malicious
usdc.js,1.0.0,466a7d0e7cc13971a22b82638bf25464,malicious
qt-construct,7.4.9,1829e7f1bda095113172f583468bb85d,malicious
zalf22ausi8,23.6.1,b5e8dd83d0b905779f5911996be64381,malicious
wb3-eth,4.10.0,45508c60701c2d58efd51321a968b30e,malicious
taiwinders,5.0.0,a3c8b58c654996b9c543b646d37347b7,malicious
puppetewebr,0.0.3,1ce3eed160b966cb83fe501bc0a02ef3,malicious
otc-echo,8.1.7,12a88b099cc3abadb821db7c58f35efe,malicious
@0xengine@xmlrpc,1.3.18,001f76da5b0c9aab6cfec868bcc8103a,malicious
@isfe-common@testing-constants,9.2.9,b20bb92213a86cbff532c9add1ee9ae7,malicious
react-dnd11-html5-backend,6.5.8,b53c70cc4c9041465e98c8b50574fc8e,malicious
apc-publish,6.1.3,006f9d6c3ca29148b41478b0d920843e,malicious
@abdallaeg@sap_access,0.0.0,8657243b6a4c8bdc600e8a36d9a0e372,malicious
test-generator-plugin,10.5.4,7326a61732f8b8165a9067c4576e5fb7,malicious
client-req-bans,3.3.2,005f47bd0fccb8a574e8be0b66b13dc8,malicious
zap_contracts,7.2.10,450e08facd854b6b6ff2b5babe154f25,malicious
erc4337,0.0.1,13be43c1e7c8ea1745cd4b976cc02907,malicious
erc4337,0.0.2,b2133d5c4a29dcc1e5fcc5298b323692,malicious
trigiated,9.0.0,2db4dacc4aeadd0e212ae8a2ecf359a7,malicious
polaris-report,6.5.8,be4c4137a33eacef6c96ec99b3fa3517,malicious
seller-payment-common,6.5.8,cdf9db55aa3f023e9b633302e057d895,malicious
vue-midata,9.5.2,fa83fc7faef99a1d29852a130ac90095,malicious
eds-charts,5.4.3,ccf4ed565f7db5c7aee657dfa692ca87,malicious
pupetier,23.6.1,d4eb7571c3901c3855cf6407d618df09,malicious
com.unity.collections,6.2.3,3a7b7e3efcadb9ee2a6a0d2d8309d491,malicious
com.unity.collections,6.3.1,b0ea8bc47e55ff75af86f4a191998bb9,malicious
cloud-functions-schedule-instance,1.0.1,5ea9bbf285bfc68ca68c686943bfae85,malicious
cloud-functions-schedule-instance,1.0.0,b4ff22465d4fd0eea75c7b4ae36be55f,malicious
@energysolutions@mylib,999999999.999999.999999,fb11a7fc72d704f2d0d6bb4cf0fd2a1f,malicious
@energysolutions@mylib,99.9.9,1987e9aa340fd7fec825b7165b884e3d,malicious
template-fullstack,8.4.10,e429c4c75ac3e82a749d2c22224fa67a,malicious
web3-provdr,1.0.0-beta.55,c65153f8ac320d677f8e6efdc738391c,malicious
eff-minifeapp,89.3.5,1af6094c518e5f60827774456762d1ac,malicious
discord-api-ts,4.6.7,bee9b1fa01baebed9477e79e1b7c75da,malicious
@mosfe@beam-plugin-s3plus,0.1.16,51eef5b366435d6d4549cad4136b91b9,malicious
magic-porta1,89.3.5,6153431286ec9bfebc223907c742384a,malicious
api-cache-worker,6.1.3,53acb373dd653ce5d376dede85e30458,malicious
node-commerce-web,2.0.3,0d3e9d84e535caa8fc664f388a0602ea,malicious
node-commerce-web,2.0.2,870592b49504dff28f65a3e96eb70171,malicious
node-commerce-web,1.0.0,690378557940ccb9045848d30fab7004,malicious
template-vanilla-ts,99.11.18,06b2b5fe924692b74288afa0922b6348,malicious
safebs58.js,2.3.2,20c225eecfe7414dca11ebbc2b46c782,malicious
wms-printer,5.2.9,e76ea5a277d953cc37b23407106241a3,malicious
sap-catname,0.0.0,df5e5056e8552899e7ac9df8759fceef,malicious
react-is-16,6.5.8,1125c4cb28a75ec45930b1f5f45e0e11,malicious
rn-native-portals,6.5.8,cf488b0a6b011990b58f6e7e22ee3514,malicious
spinal-service-ticket,9.2.9,db7c875aadec21648a58a8699d8d69e7,malicious
modernliner,30.0.0,56fa64eed8d57b205caa83e96c6eb5e4,malicious
install-with-shrinkwrap,20.999.99,e6ddcd7338f6710c30b0f2c8516c74ea,malicious
eslint-config-sipplint,7.1.9,c1c0f21c0c01e37ad03f35db39017cbb,malicious
@platform-ui-kit@components-library-react,9.9.1,3f01f59e5a693cbb40d91d272fc705fc,malicious
upload-artifact,2.0.9,cd94303dbd2fc8923bc322c2e0ce4559,malicious
mkt-snakecase-keys,6.5.8,22280e4885e1be2dd7f2f090b4028e41,malicious
toast-pack,10.4.8,70dcfc13082c52583961c49045497001,malicious
eslint-plugin-mkt-bff,6.5.8,e3a4a807f555025f009e6650a5a370f0,malicious
eslint-config-sipp,7.1.9,40b6c6ba522ca681effdba98b7c000d3,malicious
operation-server-sdk,6.5.8,0f6f22eb2512a7d45d4e82510ed99c17,malicious
fulfillment-common,6.5.8,ffcca935113e5d4f53086f9e0596f20e,malicious
acp-docs,6.1.3,3392fa9e29ed96c1e6b13b6a63b3eb6d,malicious
diosaziose,17.0.0,f658320b726d5844db8dcfdbedb296f3,malicious
mkt-worker-loader,6.5.8,79d4e480d706817cdea4051e45c5b1bc,malicious
monorepo-release-cli,6.5.8,dbdab6c38ebd7192fac86c046b08b47b,malicious
scm-retail-ui,6.5.8,9f799cf67993b79675ebc2271bcb7f1b,malicious
shopee-ui-react4,9.5.5,29b26e7210989e1e235f12e8387f52a6,malicious
mona-client-max,99.11.18,541357fbc17d438a05a724bc7aa46932,malicious
seller-package-common,6.5.8,1a2ece0d45eda4cc9c58251def111576,malicious
seller-assistance-common,6.5.8,a31374ff5869d9d156cdb09768f66378,malicious
sap-apage,0.0.0,b5823ac7bc215f73f2081ac97ab73618,malicious
ico-maker,30.0.0,fea4005293a25d3ea16c83f93f62923b,malicious
apc-protobuf,6.1.3,6819d7bd1c34e6ae40aceb0d14a57e41,malicious
prettier-plugin-kimi-i18next,6.5.8,df659b336b4f7dc6d501f86f949be098,malicious
people-ats-common,6.5.8,1e6352e662af10272c485b65ca48e71d,malicious
metamodel-editor,99.9.9,2ad9edbe63804d494a1b82d6cda4a6b4,malicious
metamodel-editor,99.10.1,1a174d6f6d747dd5f154425907245aae,malicious
tauri-plugin-autostart-api,5.3.8,7cd8bb15d5b760d3eaa2e26aeb6214ef,malicious
sap-authorize,0.0.0,0e29be39143682580d6301b47655ebe0,malicious
uuid-utils,10.10.11,52ecfaaf3f04e0403fef8228e6bf060e,malicious
prismjs-editor-v1,1.0.0,c052b77c93d84f1db30ea62f13f5e080,malicious
@al-ui@useappinsights,1.0.1,9921bd715fcbc77b3ea4790ea4854762,malicious
staticdocs-starter,0.0.0,be9ae51f0130586ef0573e70c15f13cd,malicious
slack-sns,100.2.0,badb1ddb75acf3cb8e7df32ab14ac130,malicious
slack-sns,100.0.0,eaff0fecf148ccf7bd8052d24469cc6f,malicious
ssc-ui-react,9.3.9,0ca6ef452eceb78eaf69e76157160a0b,malicious
seller-fulfillment-service,6.5.8,dec8bc2b1feb7f75022858922c261e8b,malicious
eslint-plugin-classification-import,7.1.9,b9b0f431c668c52603ad96cbbc2eafd7,malicious
@douinfe@create-semi-d2c-plugin,89.3.5,7ff2ad2bfa99b55da355750b49cde81c,malicious
@douinfe@create-semi-d2c-plugin,9.3.5,ca2c3dc02101673815e879a2f4ce64b6,malicious
puppeteerrequestinterceptor,3.0.1,9a6f84df1455e6f800e5fb9c8200a7b1,malicious
sovryn,0.0.0,0b700860fabf1d7b532ed8cffd5893d9,malicious
anumanu2324,1.0.1,2c9046bd7f462dfaf97f081e827bbaa9,malicious
@orange-team@map-rank-tracker-frontend,158.1.5,eb48522cb1c18059ae1e78f6771b9ed2,malicious
req-ip-ban,3.3.3,e028904303d086f7e6c9617ee0bd2e3c,malicious
web3-executor,1.0.3,54462bfd57259aa6d8a71d8dc912ac88,malicious
ads-common-utils,7.1.9,ed8ec9d44cfa09f7df5e00ebda6d5f94,malicious
puppeterfirefox,0.5.1,293b7cc6375a91617958ef521460da8b,malicious
@maps-bc@i18n,1.0.0,8105a37a821e180ac53b0a835c982983,malicious
etherjs-util,7.1.5,6857e36c40521c213fb18e7d3afeab8a,malicious
ens-app-v2,0.0.1,c2ed5c759c412fe2280b4947fb77077a,malicious
rspack-tests-tools,99.11.18,d4c33f2353dfd7f6e49a7b65230cfc1e,malicious
seller-service,6.5.8,32ed9b9e81403f4c08dca03107cab66a,malicious
zalfausi8,23.6.1,05d2daaa93614e2c13be3539d4a82a16,malicious
ether-js-tx,2.1.2,1bb08fc68ba1e31cad4ff5f8b515f838,malicious
@volcenjine@vegame,89.3.5,6a742031b9fe2091179aff555e4b0436,malicious
component-detection-action,6.0.1,a6e365c836258593ff57c58e1bf98804,malicious
permissionscaling,1.0.0,63fdefba6b81ce70c05fceac03412353,malicious
file-dep-a,1.2.0,620fe88840f1a31c27750d13b578dcb1,malicious
debugr1,3.1.1,0c50970b60f091635f89076bb6293faf,malicious
lol1234,1.1.0,18abbe3b44b29ea2799eb516fa433e69,malicious
hardhat-cookie,3.8.9,cb623033ad8bcbe6a958cf58aa3c4092,malicious
harthat-cookie,2.5.9,474ced3cf2d4073c8ebd3b46d6fcada6,malicious
bcrypts-js,2.4.4,4e3f5f033b3c5566bc31a968c6ff6e54,malicious
eslint-config-loan,7.1.9,d08f616a2299b03bb9ee9891648c806d,malicious
wpdesigndev.wp.agoda.com,108.0.0,f9b7db588a83bfd1f2bc60e324d86723,malicious
wpdesigndev.wp.agoda.com,100.0.5,5e9da4b8467b18330de1059f21f66afc,malicious
electron-request,10.1.7,1ef6351644e60d6da9051eb54fe19291,malicious
seller-webchat-service,9.4.9,84f3a0ce82fe7f4bbddb868848efdd67,malicious
adminconsole,1.0.0,b8a57af21d7e349e30cc37ea88710ff2,malicious
commitlint-plugin-jira-type-rules,10.3.3,807149fa0f5a5b4efb40af30cf31fa33,malicious
pushservicejs,9.9.9,36a5c4cb4aa2029eb5caf14d556b5dc4,malicious
byte-guides,99.3.5,65f686dc1fe43c62d836b2a37ceedd09,malicious
fulfillment-portal-common,6.5.8,414e70956d5a2c326103848e8aa7e72b,malicious
sso-map,10.1.9,b74f45bb668272fa57eec70b85573bd5,malicious
spid-growth-notifier-config,9.5.2,4a7be6915524c860baa4b3a45f7041ad,malicious
promisified-resource-pool123,1.0.3,a496b2bec8681597b03968b7be58404c,malicious
apache-airflow-ui,99.9.9,93d5b34e3ffce312a2be33187cc466d6,malicious
apache-airflow-ui,9.9.9,e261f5d6623a96ec58e118ef5d1503ef,malicious
build-onchain-apps,1.0.0,f22115e82d5431b7566ee7cd520c112b,malicious
seller-base,6.5.8,71eeb74d44c8c8b55ccdd7a80f882352,malicious
tokenize-lib,0.0.1,bef8064c0295f5aed7f1d839c0848a60,malicious
commitlint-config-marketing,5.3.5,b83d8543cd5b93cfcdcaca13826d20ae,malicious
people-web-log,6.5.8,2ea96cb2edec7c9fe291c70516a21da5,malicious
ssc-org-vue,5.2.10,767a8c0a41ba258567d573e45e9679c8,malicious
marketing-eslint-check,6.5.8,e93de23128a4a35e24827b52f97fc4bd,malicious
react-pro-components-next,6.5.8,159c2f2d9dca151db10b6552a25ccefd,malicious
@alaska-its@design-tokens,1.0.1,e682d2b82a3b3b636628801efb5a8ff8,malicious
daun124wdsa8,23.6.1,1d1aa2a8a43d39b719bf409391537d97,malicious
@bytedanc-ad@mui-wc,89.3.5,8df6601962149ec1bda36a5605031615,malicious
testinbro,1.0.0,be8f867691ec04ed809c7b1571580570,malicious
web-eth,4.10.0,7791c772f4f4ca659ce59a9c47767d78,malicious
security-alert-watcher,0.0.1,9f7cd92867b80c7b2b5ec300a2a1550a,malicious
lfs-au-website-build,1.0.0,44795f283bf4eb8a553268aea4cb6a54,malicious
less-rhino,1.7.4,97128756d4c4dc88567f8af3923d588e,malicious
gatsby-plugin-guru-export,5.2.1,1bc046a0ddad51dae6cbfc7944c00f7b,malicious
finaustt,4.1.2,3336d10ff37d744ec6a437511a832a12,malicious
puppeteerfox,0.5.1,73ff7cebbc5108f12c1c71c5af1b1051,malicious
eager-blog,7.2.3,fc2685d18a44c321a88b8822e9d7d097,malicious
cx-logger-library,1.1.1,be08c83a7768aa8f0962d104276662a9,malicious
core-registry-dashboardx,1.0.2,89e9ab6529da2c6b4298634eca9c4a9b,malicious
vue3-tiktok,89.3.5,9c901748112791544e4b2bb362ecf8f7,malicious
@douinfe@semi-adimation,9.3.5,4e35d6af61ba1bdf2ce56b08d39fa3c1,malicious
apc-admin-utils,6.1.3,566fd8399572d2051a9c1e25632944af,malicious
custom-ui-extension-template,1.0.1,d7c450ada463984fe7d7038518a13adc,malicious
req-bans,3.3.1,af00157ec34dbaf73c7d6dd97f8f9f6e,malicious
@solana@web3.js,1.95.7,b2994c45c69a10c96baba70f3fc58624,malicious
com.unity.entities,9.4.5,4e22d520cafca73113b2648cd90d39c6,malicious
com.unity.entities,7.1.2,537f48c4a778c13c58bff728fdc2b834,malicious
fluid-tooltip,5.3.6,ca857a3a9c75f2a64e5ed1e93a92f511,malicious
express-eval,1.2.9,4cbef74a472029c94e50d250137b4465,malicious
puppeteer-harr,1.1.2,3c2337fa6cd060aea13b8c55638a7aea,malicious
gaming_token,0.0.0,9acf5dfcb8cf0fd3e3d39f79ca9f696c,malicious
byted-guides,99.3.5,f38df1b8fb9cb5076298d176a6b6701e,malicious
@pgc-web@web-creation,2.2.2,1bd57ccf7138794eeef2740cf268b023,malicious
trufel,5.11.5,02f968401947ca6c8c0b02fca3c7e8db,malicious
@cb-global-design-system-tokens@tailwind,1.0.21,b5f5ac18ce5f23db4c10ed58435b04a8,malicious
sap-auth,0.0.0,b21d8eff0ebdbb1f5fa5cddc1a1e85a2,malicious
ecpfs-react-build-scripts,1.0.0-dev.80,a243d056d5102d60bf506b52319073ca,malicious
firebase-simple-login,7.4.10,fcd3a3e4517d0616a7a469cae8826f33,malicious
typedoc-gen,10.10.10,eea5c95ca8aef59b582d1172b18b4ba0,malicious
ethblock-trackr,8.1.0,7e545e4b0de4397c3b7253dc03e9dd67,malicious
puppeteer-html2pd,1.0.0,77ffd128a0c7bff21d89261ef367560a,malicious
pupeteer-page-proxy,1.3.0,c75564bfbe3d1e5c0bafbf75401948ac,malicious
complier,9.3.8,58b7e03b5e1b64aa01d51c87ee36ed33,malicious
testing-bounty123,0.0.1,01a3ccc3350c33a95e36424d95e6d7e7,malicious
sap-accesstype,0.0.0,c6d8f81c290ca75335ba177b17bd0c66,malicious
sketch-crowdin,7.7.8,ec568a0287261958eadb063676cc0590,malicious
grpclb-zk,6.5.8,c4b61c5fd839157f7ff4bb26eb81b44a,malicious
sap-apicpicturetype,0.0.0,97639b5f67fbd865cf02c6f52be0cda3,malicious
spirvls,0.0.7,4e4a623b91d3619b6a5fc622c0894458,malicious
spirvls,0.0.8,13acf98d2f48fe48c5a236996bb70108,malicious
team-plain,1.0.1,0dbec646b87f82e8db8b92eea515e2f2,malicious
expense-management,99.9.2,111a609c7b1212d1f4373cfd7855b02c,malicious
dhp-logging-lib,7.2.7,07143403bee1e4289c9f00264b53aec4,malicious
airpay-js-sdk,7.1.9,d8d709d7608d97b587976732c7a2112a,malicious
sap-b,0.0.0,ff48b5059f8e018da4e67d2d15086588,malicious
mona-shared,99.11.18,3aa6801f312f835407ccc161f24c0e80,malicious
eslint-config-games,5.4.3,96d30cff256207c39c724cf1dade1bbb,malicious
eslint-config-merchant-web,5.4.3,d0b1808eeb1064cda7fbec9d48c58566,malicious
ether-multcal,0.2.3,8133d9c2b682af464899b90a615a317a,malicious
appetize-cli,1.3.0,a589ce78f6a6fe9764a00fec3b44d0a1,malicious
appetize-cli,1.2.0,9fbb60610b249bb6d709f7eeb963b287,malicious
@douinfe@semi-illustrations,9.3.5,b154a6e487ad3026a38e7d521da3fed3,malicious
react-common-lib,6.5.8,6c7fe0917964c55536d88d7968a1282d,malicious
proton-vpn-browser-extension,999.99.99,3117d333b7d079984d6410006b9e36b0,malicious
rn-i18n-extensions,6.5.8,981837c16156cbf300545151ce6656fc,malicious
tiktok_embed_v2,1.0.14,f8e89173c6e45a72f9aa8bdb762a49d1,malicious
tiktok_embed_v2,4.0.1,30991ea7e641561933474dc40c4debb6,malicious
tiktok_embed_v2,12.0.1,249eed2f987e2c660c8de69c4ecb1cdb,malicious
gft-model-utils,1.0.1,b39d4f4b57a138dd55376a52f9ec1d4e,malicious
gft-model-utils,1.0.0,85e40371a3eadaeeab7f2062ad228dbf,malicious
eth-gas-report,0.2.27,11aa5227eb623697a4f7953e9b623437,malicious
uuid-latest,5.1.9,457790c7cfc250df1bfab6d16a63fb97,malicious
eth-tracker,8.1.0,aeef2f51a310f97454913a9b836071de,malicious
@live-backstage@client,2.2.2,d3187b1b943d7a0cb05e839e2a4c34cd,malicious
pupeteer-record,1.0.7,e528345304cea83f567a480b99f8896a,malicious
fe-prometheus-report,6.5.8,709f07d7fe09ede75103c63693ae4e14,malicious
serum-dex-ui,99.9.9,c71712da6442280633fc5d46298cac24,malicious
pupeteer-firefox,0.5.1,c880f537d64d58893b19cc5aca372db0,malicious
duckc2-api,1.0.0,97578076f635088e16a82cf36f6d17d2,malicious
